sid,dat,open_value,low,high,close_value,volume
146,2019-03-27,167.85,164.79,168.94,165.87,10620300
146,2019-03-28,164.57,163.33,166.72,165.55,10689200
146,2019-03-29,166.39,164.81,167.19,166.69,13455500
146,2019-04-01,167.83,167.28,168.9,168.7,10381500
146,2019-04-02,170.14,169.55,174.9,174.2,23946500
146,2019-04-03,174.5,172.95,177.96,173.54,27590100
146,2019-04-04,176.02,175.53,178,176.02,17847700
146,2019-04-05,176.88,175.1,177,175.72,9594100
146,2019-04-08,175.21,174.23,175.5,174.93,7297400
146,2019-04-09,175.62,175.55,179.19,177.58,19751000
146,2019-04-10,178.18,176.54,178.79,177.82,11701500
146,2019-04-11,178.24,177,178.4,177.51,8071000
146,2019-04-12,178,177.95,179.63,179.1,12329800
146,2019-04-15,178.5,176.87,180.5,179.65,10834800
146,2019-04-16,179,178.3,180.17,178.87,11215200
146,2019-04-17,179.6,178.36,180.74,178.78,9973700
146,2019-04-18,178.8,177.34,178.88,178.28,11655600
146,2019-04-22,178.25,178.25,181.67,181.44,13389900
146,2019-04-23,182.74,181.48,184.22,183.78,19954800
146,2019-04-24,184.49,181.65,185.14,182.58,37289900
146,2019-04-25,196.98,192.12,198.48,193.26,54148800
146,2019-04-26,192.5,189.09,192.9,191.49,22075000
146,2019-04-29,190.95,190.65,195.41,194.78,19641300
146,2019-04-30,194.19,192.28,197.39,193.4,23494700
146,2019-05-01,194.78,193.01,196.18,193.03,15996600
146,2019-05-02,193,189.75,194,192.53,13209500
146,2019-05-03,194.38,193.71,196.16,195.47,14575400
146,2019-05-06,191.24,190.55,194.28,193.88,13994900
146,2019-05-07,192.54,187.85,192.9,189.77,16253000
146,2019-05-08,189.39,188.55,190.72,189.54,12505700
146,2019-05-09,187.2,186.26,189.77,188.65,12967000
146,2019-05-10,188.25,184.59,190,188.34,12578500
146,2019-05-13,183.5,180.84,185.43,181.54,16833300
146,2019-05-14,182.52,178.1,183.49,180.73,17628100
146,2019-05-15,180.42,180.02,187.28,186.27,16746900
146,2019-05-16,185.05,185.05,188.58,186.99,12953100
146,2019-05-17,184.84,184.28,187.58,185.3,10485400
146,2019-05-20,181.88,181.37,184.23,182.72,10352000
146,2019-05-21,184.57,183.89,185.7,184.82,7502800
146,2019-05-22,184.73,183.61,186.74,185.32,9213800
146,2019-05-23,182.42,179.67,183.9,180.87,12768800
146,2019-05-24,182.33,180.83,183.63,181.06,8807700
146,2019-05-28,181.54,181.45,184.71,184.31,14843300
